Bedrooms,Bathrooms,Furnishing,Area,Price,Locality,Parking,Power,Pool,Security
2,2,0,825.0,11000,Basheer Bagh,0,1,0,0
2,2,2,825.0,17500,Kondapur,0,0,0,0
3,3,2,1875.0,22000,Kondapur,0,0,0,0
2,2,0,750.0,13000,Alkapur Township,0,1,0,0
3,3,0,1200.0,25000,Bowenpally,0,1,0,0
2,2,0,713.0,8500,Chandrayangutta,0,1,0,0
2,2,2,936.0,12000,Mallampet,0,0,0,0
1,1,0,450.0,6000,Adikmet,0,1,0,0
1,1,0,413.0,10000,Banjara Hills,0,0,0,0
1,1,0,413.0,6000,Abids,0,1,0,0
3,3,0,1406.0,21000,Manikonda,0,1,0,0
3,3,2,1075.0,21000,Manikonda,0,0,0,0
2,2,2,880.0,12000,Ameerpet,0,0,0,0
2,2,2,713.0,11000,Lingampally,0,1,0,0
1,1,0,915.0,15000,Puppalaguda,0,1,0,0
1,1,2,450.0,9000,HMT Swarnapuri Colony,0,0,0,0
3,2,0,1260.0,25000,Chanda Nagar,0,1,0,0
2,2,0,830.0,14000,Kompally,0,1,0,0
2,2,0,916.0,19000,Madinaguda,1,0,0,0
2,2,3,944.0,24000,Appa Junction,1,0,0,0
2,2,0,859.0,20000,Madinaguda,0,0,0,0
3,3,0,1250.0,20000,Miyapur,0,0,0,0
1,1,1,450.0,11000,Kukatpally,0,0,0,0
2,2,2,938.0,17500,Padmanabha Nagar,0,0,0,0
2,2,2,758.0,11000,Uppal,0,0,0,0
3,3,0,1535.0,30000,Narsingi,0,0,0,0
2,2,2,900.0,13000,Manikonda,0,1,0,0
2,2,3,1050.0,22900,Miyapur,1,0,0,0
2,2,2,936.0,15000,Chanda Nagar,0,0,1,0
3,3,2,1370.0,40000,Narsingi,0,0,0,0
2,2,2,960.0,10000,Ameenpur,0,0,0,0
3,3,2,1320.0,14000,Bandlaguda Jagir,0,1,0,0
1,1,0,750.0,8000,Madhapur,0,0,0,0
1,1,0,488.0,10000,Madhapur,0,1,0,0
2,2,2,938.0,20000,Madhapur,0,1,0,0
2,2,2,863.0,21000,Madhapur,0,0,0,0
3,3,2,1406.0,37500,Narsingi,0,1,0,0
1,1,1,320.0,6000,Sun City,0,0,0,0
3,2,0,1170.0,17000,Madinaguda,0,1,0,0
3,3,0,1350.0,25000,Kondapur,0,1,0,0
